# field[T]	exp	pyd	dopa
6.39413	8.737052E-03	4.859235E-14	2.748428E-03
6.39423	1.328310E-02	3.126870E-13	2.808494E-03
6.39433	1.256448E-02	1.739419E-12	2.870617E-03
6.39444	1.437265E-02	8.398676E-12	2.935030E-03
6.39454	1.406943E-02	3.525805E-11	3.001782E-03
6.39464	1.176049E-02	1.290323E-10	3.070925E-03
6.39474	1.344501E-02	4.141801E-10	3.142718E-03
6.39484	1.591999E-02	1.171805E-09	3.217222E-03
6.39494	7.243586E-03	2.944215E-09	3.294599E-03
6.39504	3.420869E-03	6.629607E-09	3.375005E-03
6.39514	1.698688E-02	1.352365E-08	3.458601E-03
6.39524	2.110841E-02	2.530134E-08	3.545585E-03
6.39534	9.716504E-03	4.397159E-08	3.636143E-03
6.39544	1.641193E-02	7.186116E-08	3.730477E-03
6.39554	1.104835E-02	1.116261E-07	3.828829E-03
6.39564	1.689709E-02	1.661832E-07	3.931435E-03
6.39574	1.139868E-02	2.385380E-07	4.038548E-03
6.39584	1.768990E-02	3.315071E-07	4.150473E-03
6.39594	1.400878E-02	4.472706E-07	4.267510E-03
6.39604	1.647257E-02	5.869552E-07	4.389981E-03
6.39614	1.771904E-02	7.504859E-07	4.518275E-03
6.39624	1.590439E-02	9.369182E-07	4.652777E-03
6.39634	1.268342E-02	1.145654E-06	4.793922E-03
6.39644	2.185647E-02	1.377904E-06	4.942167E-03
6.39654	1.778204E-02	1.637756E-06	5.098061E-03
6.39664	1.674430E-02	1.931832E-06	5.262161E-03
6.39674	2.018990E-02	2.267960E-06	5.435075E-03
6.39684	1.789892E-02	2.653273E-06	5.617530E-03
6.39694	2.182938E-02	3.092100E-06	5.810273E-03
6.39704	1.945744E-02	3.584839E-06	6.014130E-03
6.39714	2.387101E-02	4.128155E-06	6.230085E-03
6.39724	2.513573E-02	4.716088E-06	6.459167E-03
6.39734	1.929582E-02	5.342455E-06	6.702551E-03
6.39744	1.923311E-02	6.002662E-06	6.961528E-03
6.39754	2.561412E-02	6.694759E-06	7.237632E-03
6.39764	2.801050E-02	7.418704E-06	7.532515E-03
6.39774	2.374972E-02	8.175546E-06	7.848047E-03
6.39784	2.346239E-02	8.966331E-06	8.186463E-03
6.39794	2.050637E-02	9.790031E-06	8.550217E-03
6.39804	1.550666E-02	1.064220E-05	8.942134E-03
6.39814	2.132420E-02	1.151459E-05	9.365613E-03
6.39824	2.432467E-02	1.239564E-05	9.824488E-03
6.39834	2.702015E-02	1.327287E-05	1.032326E-02
6.39844	2.859458E-02	1.413539E-05	1.086743E-02
6.39854	2.648759E-02	1.497444E-05	1.146342E-02
6.39864	3.403676E-02	1.578339E-05	1.211908E-02
6.39874	3.418278E-02	1.655632E-05	1.284398E-02
6.39884	3.197923E-02	1.728741E-05	1.365039E-02
6.39894	3.683763E-02	1.797042E-05	1.455377E-02
6.39904	3.662420E-02	1.859996E-05	1.557451E-02
6.39914	3.897347E-02	1.917265E-05	1.674065E-02
6.39924	3.894874E-02	1.968664E-05	1.809113E-02
6.39934	4.358693E-02	2.014022E-05	1.968203E-02
6.39944	5.350097E-02	2.053025E-05	2.159629E-02
6.39954	6.164305E-02	2.085201E-05	2.395623E-02
6.39964	7.200634E-02	2.110153E-05	2.694233E-02
6.39974	8.131393E-02	2.127793E-05	3.081794E-02
6.39984	8.791515E-02	2.138339E-05	3.595440E-02
6.39994	1.074647E-01	2.142138E-05	4.285792E-02
6.40004	1.238160E-01	2.139503E-05	5.218529E-02
6.40014	1.465707E-01	2.130786E-05	6.474549E-02
6.40024	1.614912E-01	2.116562E-05	8.146112E-02
6.40035	1.786715E-01	2.097692E-05	1.032967E-01
6.40045	2.238599E-01	2.075136E-05	1.311537E-01
6.40055	2.530318E-01	2.049725E-05	1.657132E-01
6.40065	2.807874E-01	2.022038E-05	2.072885E-01
6.40075	3.210842E-01	1.992400E-05	2.557163E-01
6.40085	3.714316E-01	1.960938E-05	3.102697E-01
6.40095	4.173778E-01	1.927559E-05	3.697026E-01
6.40105	4.620846E-01	1.891940E-05	4.323652E-01
6.40115	5.203130E-01	1.853579E-05	4.964342E-01
6.40125	5.643721E-01	1.811990E-05	5.601188E-01
6.40135	6.159972E-01	1.766994E-05	6.219067E-01
6.40145	6.572007E-01	1.718990E-05	6.807429E-01
6.40155	7.169805E-01	1.669014E-05	7.360481E-01
6.40165	7.571507E-01	1.618360E-05	7.876817E-01
6.40175	8.044364E-01	1.567989E-05	8.358020E-01
6.40185	8.463612E-01	1.518184E-05	8.806247E-01
6.40195	8.747968E-01	1.468610E-05	9.222257E-01
6.40205	9.065738E-01	1.418715E-05	9.603832E-01
6.40215	9.391015E-01	1.368184E-05	9.944734E-01
6.40225	9.622762E-01	1.317118E-05	1.023518E+00
6.40235	9.836964E-01	1.266021E-05	1.046317E+00
6.40245	9.921220E-01	1.215594E-05	1.061674E+00
6.40255	9.998999E-01	1.166537E-05	1.068631E+00
6.40265	1.000000E+00	1.119367E-05	1.066701E+00
6.40275	9.985781E-01	1.074344E-05	1.056006E+00
6.40285	9.809644E-01	1.031542E-05	1.037306E+00
6.40295	9.594736E-01	9.909073E-06	1.011913E+00
6.40305	9.462376E-01	9.523086E-06	9.815050E-01
6.40315	9.222650E-01	9.156061E-06	9.479090E-01
6.40325	8.926077E-01	8.806804E-06	9.128786E-01
6.40335	8.726477E-01	8.474753E-06	8.779060E-01
6.40345	8.418128E-01	8.161067E-06	8.441411E-01
6.40355	8.153467E-01	7.870203E-06	8.123487E-01
6.40365	7.979951E-01	7.613367E-06	7.829469E-01
6.40375	7.620583E-01	7.415508E-06	7.560645E-01
6.40385	7.437557E-01	7.334030E-06	7.316426E-01
6.40395	7.196595E-01	7.513253E-06	7.094979E-01
6.40405	6.963611E-01	8.333940E-06	6.893927E-01
6.40415	6.934348E-01	1.073915E-05	6.710763E-01
6.40425	6.755533E-01	1.679964E-05	6.543125E-01
