# field[T]	exp	pyd	dopa
6.39770	1.298000E-02	1.840893E-05	7.913962E-03
6.39780	8.650000E-03	2.022408E-05	8.250426E-03
6.39790	1.057000E-02	2.211710E-05	8.611671E-03
6.39800	8.250000E-03	2.408122E-05	9.000447E-03
6.39810	9.140000E-03	2.610075E-05	9.419929E-03
6.39820	9.490000E-03	2.815177E-05	9.873810E-03
6.39830	1.400000E-02	3.020609E-05	1.036641E-02
6.39840	1.162000E-02	3.223646E-05	1.090284E-02
6.39850	1.208000E-02	3.422030E-05	1.148918E-02
6.39860	1.786000E-02	3.614023E-05	1.213276E-02
6.39870	1.766000E-02	3.798198E-05	1.284252E-02
6.39880	1.848000E-02	3.973188E-05	1.362957E-02
6.39890	1.644000E-02	4.137573E-05	1.450799E-02
6.39900	2.561000E-02	4.290022E-05	1.549605E-02
6.39910	2.620000E-02	4.429529E-05	1.661820E-02
6.39920	2.717000E-02	4.555512E-05	1.790818E-02
6.39930	3.296000E-02	4.667583E-05	1.941393E-02
6.39940	3.516000E-02	4.765159E-05	2.120532E-02
6.39950	4.865000E-02	4.847297E-05	2.338562E-02
6.39960	5.349000E-02	4.912987E-05	2.610806E-02
6.39970	6.271000E-02	4.961687E-05	2.959766E-02
6.39980	7.840000E-02	4.993593E-05	3.417795E-02
6.39990	8.513000E-02	5.009399E-05	4.029921E-02
6.40000	1.031100E-01	5.009880E-05	4.856212E-02
6.40010	1.204000E-01	4.995810E-05	5.972704E-02
6.40020	1.364700E-01	4.968283E-05	7.469703E-02
6.40030	1.634500E-01	4.929003E-05	9.446343E-02
6.40040	1.911700E-01	4.880116E-05	1.200078E-01
6.40050	2.199200E-01	4.823711E-05	1.521651E-01
6.40060	2.581800E-01	4.761401E-05	1.914651E-01
6.40070	2.980600E-01	4.694211E-05	2.379842E-01
6.40080	3.384900E-01	4.622650E-05	2.912453E-01
6.40090	3.850300E-01	4.546729E-05	3.501998E-01
6.40100	4.333400E-01	4.465938E-05	4.133119E-01
6.40110	4.805300E-01	4.379300E-05	4.787377E-01
6.40120	5.337100E-01	4.285659E-05	5.445685E-01
6.40130	5.812200E-01	4.184242E-05	6.090837E-01
6.40140	6.303500E-01	4.075349E-05	6.709573E-01
6.40150	6.791200E-01	3.960704E-05	7.293702E-01
6.40160	7.239200E-01	3.843046E-05	7.840042E-01
6.40170	7.703000E-01	3.725013E-05	8.349236E-01
6.40180	8.118700E-01	3.608025E-05	8.823765E-01
6.40190	8.493800E-01	3.491964E-05	9.265640E-01
6.40200	8.830600E-01	3.375776E-05	9.674348E-01
6.40210	9.177300E-01	3.258450E-05	1.004552E+00
6.40220	9.413200E-01	3.139747E-05	1.037071E+00
6.40230	9.613600E-01	3.020389E-05	1.063827E+00
6.40240	9.775000E-01	2.901799E-05	1.083532E+00
6.40250	9.827400E-01	2.785621E-05	1.095027E+00
6.40260	1.000000E+00	2.673262E-05	1.097534E+00
6.40270	9.922500E-01	2.565623E-05	1.090852E+00
6.40280	9.853000E-01	2.463089E-05	1.075447E+00
6.40290	9.745700E-01	2.365668E-05	1.052417E+00
6.40300	9.602500E-01	2.273149E-05	1.023348E+00
6.40310	9.366200E-01	2.185219E-05	9.900892E-01
6.40320	9.154000E-01	2.101565E-05	9.545189E-01
6.40330	8.915800E-01	2.021988E-05	9.183299E-01
6.40340	8.642500E-01	1.946562E-05	8.828884E-01
6.40350	8.420100E-01	1.875933E-05	8.491681E-01
6.40360	8.136200E-01	1.811920E-05	8.177575E-01
6.40370	7.909000E-01	1.758722E-05	7.889175E-01
6.40380	7.700500E-01	1.725887E-05	7.626644E-01
6.40390	7.460400E-01	1.736762E-05	7.388556E-01
6.40400	7.322100E-01	1.851774E-05	7.172637E-01
6.40410	7.156600E-01	2.223091E-05	6.976306E-01
6.40420	6.970300E-01	3.197410E-05	6.797029E-01
6.40430	6.854300E-01	5.462826E-05	6.632507E-01
6.40440	6.744100E-01	1.018947E-04	6.480748E-01
6.40450	6.677500E-01	1.907128E-04	6.340074E-01
6.40460	6.600900E-01	3.419447E-04	6.209086E-01
6.40470	6.497200E-01	5.775813E-04	6.086623E-01
6.40480	6.407000E-01	9.178252E-04	5.971720E-01
6.40490	6.405300E-01	1.379393E-03	5.863564E-01
6.40500	6.394000E-01	1.975048E-03	5.761470E-01
6.40510	6.383100E-01	2.713161E-03	5.664851E-01
6.40520	6.343700E-01	3.596562E-03	5.573202E-01
6.40530	6.393300E-01	4.621805E-03	5.486086E-01
6.40540	6.394000E-01	5.780691E-03	5.403120E-01
6.40550	6.424200E-01	7.064249E-03	5.323967E-01
6.40560	6.421500E-01	8.466986E-03	5.248329E-01
6.40570	6.449400E-01	9.988921E-03	5.175943E-01
6.40580	6.429600E-01	1.163481E-02	5.106573E-01
6.40590	6.437800E-01	1.341186E-02	5.040006E-01
6.40600	6.440600E-01	1.532745E-02	4.976052E-01
6.40610	6.360700E-01	1.738788E-02	4.914539E-01
6.40620	6.336900E-01	1.959844E-02	4.855310E-01
6.40630	6.258100E-01	2.196404E-02	4.798222E-01
6.40640	6.220700E-01	2.448837E-02	4.743144E-01
6.40650	6.174800E-01	2.716998E-02	4.689959E-01
6.40660	6.075800E-01	2.999676E-02	4.638556E-01
6.40670	6.023900E-01	3.294495E-02	4.588835E-01
6.40680	5.957300E-01	3.598781E-02	4.540704E-01
6.40690	5.912700E-01	3.911262E-02	4.494077E-01
6.40700	5.871600E-01	4.233495E-02	4.448876E-01
6.40710	5.817400E-01	4.569715E-02	4.405028E-01
6.40720	5.787100E-01	4.924663E-02	4.362465E-01
6.40730	5.713900E-01	5.300405E-02	4.321125E-01
6.40740	5.662600E-01	5.694115E-02	4.280948E-01
6.40750	5.657600E-01	6.098356E-02	4.241880E-01
6.40760	5.572900E-01	6.503867E-02	4.203869E-01
6.40770	5.569700E-01	6.903186E-02	4.166867E-01
6.40780	5.505700E-01	7.292970E-02	4.130828E-01
6.40790	5.461500E-01	7.673864E-02	4.095712E-01
6.40800	5.424200E-01	8.048435E-02	4.061477E-01
6.40810	5.449400E-01	8.418763E-02	4.028086E-01
6.40820	5.397300E-01	8.785060E-02	3.995505E-01
6.40830	5.383100E-01	9.145801E-02	3.963700E-01
6.40840	5.406000E-01	9.498853E-02	3.932641E-01
6.40850	5.371000E-01	9.842679E-02	3.902297E-01
6.40860	5.338200E-01	1.017688E-01	3.872640E-01
6.40870	5.400100E-01	1.050186E-01	3.843645E-01
6.40880	5.369100E-01	1.081812E-01	3.815287E-01
6.40890	5.419300E-01	1.112551E-01	3.787541E-01
