experiment,Theoretical_spectrum,PYD,DOPA
6.387351063,0.0008203341776570972,4.645225650822093e-18,0.0008203341776570925
6.387451063,0.0008203341776570995,6.967838476233148e-18,0.0008203341776570925
6.387551063,0.0008203341776571018,9.290451301644185e-18,0.0008203341776570925
6.387651063,0.0008203341776571088,1.6258289777877333e-17,0.0008203341776570925
6.387751063,0.0008203341776571018,9.290451301644185e-18,0.0008203341776570925
6.387851063,0.0008203341776571041,1.1613064127055242e-17,0.0008203341776570925
6.387951063,0.0008203341776570995,6.967838476233148e-18,0.0008203341776570925
6.388051063,0.0008203341776570995,6.967838476233148e-18,0.0008203341776570925
6.3881510630000005,0.0008203341776571111,1.858090260328837e-17,0.0008203341776570925
6.388251062999999,0.0008203341776571088,1.6258289777877333e-17,0.0008203341776570925
6.388351063,0.0008203341776571018,9.290451301644185e-18,0.0008203341776570925
6.388451063000001,0.0008203341776571181,2.554874107952147e-17,0.0008203341776570925
6.3885510629999995,0.0008203341776571181,2.554874107952147e-17,0.0008203341776570925
6.388651063,0.0008203341776571065,1.3935676952466295e-17,0.0008203341776570925
6.388751063,0.0008203341776571134,2.090351542869946e-17,0.0008203341776570925
6.388851063,0.0008203341776571111,1.858090260328837e-17,0.0008203341776570925
6.388951063,0.0008203341776571041,1.1613064127055242e-17,0.0008203341776570925
6.389051063,0.0008203341776571157,2.322612825411055e-17,0.0008203341776570925
6.389151063,0.0008203341776571065,1.3935676952466295e-17,0.0008203341776570925
6.389251063,0.0008203341776571111,1.858090260328837e-17,0.0008203341776570925
6.389351063,0.0008203341776571111,1.858090260328837e-17,0.0008203341776570925
6.389451063,0.0008203341776571088,1.6258289777877333e-17,0.0008203341776570925
6.389551063,0.0008203341776571088,1.6258289777877333e-17,0.0008203341776570925
6.3896510630000005,0.0008203341776570925,0.0,0.0008203341776570925
6.389751062999999,0.0008203341776570937,1.1613064127055241e-18,0.0008203341776570925
6.389851063,0.0008203341776570972,4.645225650822093e-18,0.0008203341776570925
6.389951063000001,0.0008203341776571029,1.0451757714349714e-17,0.0008203341776570925
6.390051063,0.0008899123121776412,9.290451301644185e-18,0.0008899123121776319
6.390151063,0.0010226940405892555,1.6258289777877333e-17,0.0010226940405892392
6.390251063,0.0011463139156832104,4.645225650822093e-18,0.0011463139156832058
6.390351063,0.0012570227614852403,1.0451757714349714e-17,0.00125702276148523
6.390451063,0.0013528282986290559,5.806532063527621e-18,0.00135282829862905
6.390551063,0.0014334770947415578,5.806532063527621e-18,0.001433477094741552
6.390651063,0.0015001413314144618,3.483919238116565e-18,0.0015001413314144584
6.390751063,0.0015549342866689882,9.290451301644185e-18,0.001554934286668979
6.390851063,0.0016003942616991062,0.0,0.0016003942616991062
6.390951063,0.00163904927595296,-2.3226128254110552e-18,0.0016390492759529624
6.391051063,0.0016731236614481578,0.0,0.0016731236614481578
6.391151063000001,0.0017043953437312768,1.1613064127055241e-18,0.0017043953437312757
6.3912510629999995,0.001734175375553996,1.1613064127055241e-18,0.001734175375553995
6.391351063,0.0017633650022120034,1.1613064127055241e-18,0.0017633650022120023
6.391451063000001,0.0017925470172190882,1.0451757714349714e-17,0.0017925470172190777
6.391551063,0.0018220797706839929,1.1613064127055241e-18,0.0018220797706839918
6.391651063,0.0018521762913904646,-2.3226128254110552e-18,0.001852176291390467
6.391751063,0.0018829625783812276,2.3226128254110552e-18,0.0018829625783812253
6.391851063,0.0019145163207799833,5.806532063527621e-18,0.0019145163207799775
6.3919510630000005,0.0019468904618043703,5.806532063527621e-18,0.0019468904618043644
6.392051063,0.001980126473448199,1.1613064127055241e-18,0.0019801264734481978
6.392151063,0.002014261335548057,-4.645225650822093e-18,0.002014261335548062
6.392251063,0.0020493309912998545,0.0,0.0020493309912998545
6.392351063,0.002085371983176822,1.1613064127055241e-18,0.0020853719831768207
6.392451063,0.0021224222178215357,-3.483919238116565e-18,0.002122422217821539
6.392551063,0.002160521344463113,-4.645225650822093e-18,0.0021605213444631176
6.392651063000001,0.002199710975954995,4.645225650822093e-18,0.00219971097595499
6.3927510629999995,0.0022400348534220424,0.0,0.0022400348534220424
6.392851063,0.002281538996417734,2.3226128254110552e-18,0.002281538996417732
6.392951063000001,0.0023242718552222608,1.3935676952466295e-17,0.002324271855222247
6.393051063,0.002368284471936822,-2.3226128254110552e-18,0.0023682844719368243
6.393151063,0.002413630653361467,-4.645225650822093e-18,0.0024136306533614716
6.393251063,0.0024603671574407785,9.290451301644185e-18,0.0024603671574407694
6.393351063,0.0025085538947816634,-6.967838476233148e-18,0.0025085538947816704
6.3934510630000005,0.002558254146727217,-2.3226128254110552e-18,0.002558254146727219
6.393551063,0.002609534801618821,2.3226128254110552e-18,0.002609534801618819
6.393651063,0.002662466611035946,0.0,0.002662466611035946
6.393751063,0.002717124467995823,9.290451301644185e-18,0.002717124467995814
6.3938510630000005,0.0027735877093510975,2.3226128254110552e-18,0.0027735877093510953
6.393951063,0.0028319404448483272,4.645225650822093e-18,0.0028319404448483225
6.394051063,0.002892271915636299,-1.3935676952466295e-17,0.002892271915636313
6.394151063000001,0.0029546768853323615,-9.290451301644185e-18,0.0029546768853323706
6.394251063,0.003019256067128451,-1.6258289777877333e-17,0.003019256067128467
6.394351063,0.0030861165908846297,-9.290451301644185e-18,0.003086116590884639
