field[T],exp,pyd,dopa
6.40045,0.2133,0.00005441715,0.1409316
6.40055,0.24681,0.00005374721,0.1779179
6.40065,0.28883,0.0000530185,0.2223231
6.40075,0.33286,0.00005223932,0.273934
6.40085,0.36083,0.00005141262,0.3319564
6.40095,0.4302,0.00005053562,0.3950499
6.40105,0.4791,0.00004959951,0.4614657
6.40115,0.53449,0.0000485911,0.5292648
6.40125,0.5794,0.00004749766,0.5965746
6.40135,0.63391,0.0000463148,0.6618259
6.40145,0.67504,0.00004505391,0.7239164
6.40155,0.72849,0.00004374264,0.782264
6.40165,0.76927,0.00004241493,0.836742
6.40175,0.81117,0.00004109576,0.8875136
6.40185,0.84378,0.00003979162,0.9348104
6.40195,0.8823,0.00003849305,0.978707
6.40205,0.91455,0.00003718574,1.018947
6.40215,0.93515,0.00003586149,1.054864
6.40225,0.96379,0.00003452338,1.085416
6.40235,0.98438,0.0000331847,1.109336
6.40245,0.99526,0.0000318642,1.125361
6.40255,1,0.00003058004,1.132495
6.40265,0.996,0.00002934544,1.130237
6.40275,0.99763,0.00002816726,1.118733
6.40285,0.99228,0.0000270472,1.098798
6.40295,0.97875,0.00002598368,1.071822
6.40305,0.95224,0.00002497346,1.039583
6.40315,0.9382,0.00002401276,1.004007
6.40325,0.91371,0.00002309839,0.9669367
6.40335,0.88819,0.0000222291,0.9299475
6.40345,0.86364,0.00002140786,0.894244
6.40355,0.83996,0.00002064643,0.860629
6.40365,0.81534,0.00001997417,0.8295375
6.40375,0.79523,0.00001945667,0.8011101
6.40385,0.77508,0.0000192443,0.7752798
6.40395,0.75473,0.00001971507,0.7518545
6.40405,0.74976,0.0000218592,0.7305831
6.40415,0.73138,0.00002813011,0.7112015
6.40425,0.71867,0.00004391189,0.6934603
6.40435,0.70196,0.00007935326,0.6771383
6.40445,0.70006,0.0001506764,0.6620462
6.40455,0.69403,0.0002797689,0.6480254
6.40465,0.68784,0.0004915943,0.634944
6.40475,0.68805,0.000810494,0.6226922
6.40485,0.68752,0.00125736,0.6111785
6.40495,0.6774,0.001848696,0.6003257
6.40505,0.68102,0.00259653,0.5900681
6.40515,0.6831,0.003507488,0.5803494
6.40525,0.69102,0.004581143,0.5711211
6.40535,0.69001,0.005810042,0.5623408
6.40545,0.69417,0.007183176,0.5539715
6.40555,0.69055,0.008691476,0.5459804
6.40565,0.70048,0.01033182,0.5383385
6.40575,0.69696,0.01210751,0.53102
6.40585,0.69656,0.014026,0.5240019
6.40595,0.69862,0.01609602,0.5172633
6.40605,0.69672,0.01832537,0.5107856
6.40615,0.6896,0.02072035,0.5045517
6.40625,0.68603,0.02328651,0.4985462
6.40635,0.6799,0.02602929,0.492755
6.40645,0.67768,0.02895151,0.4871653
6.40655,0.66894,0.03204685,0.4817652
6.40665,0.66795,0.03529421,0.4765439
6.40675,0.6592,0.03866112,0.4714916
6.40685,0.64754,0.04212022,0.4665989
6.40695,0.64213,0.0456709,0.4618576
6.40705,0.63816,0.04934947,0.4572596
6.40715,0.63379,0.0532151,0.4527979
6.40725,0.62559,0.05731465,0.4484656
6.40735,0.61516,0.06164659,0.4442565
6.40745,0.61727,0.06614775,0.4401646
6.40755,0.61231,0.07071366,0.4361846
6.40765,0.60148,0.07524109,0.4323113
6.40775,0.60482,0.07966679,0.4285398
6.40785,0.5972,0.08398018,0.4248656
6.40795,0.59783,0.08820703,0.4212845
6.40805,0.59364,0.09237932,0.4177926
6.40815,0.59144,0.09651129,0.414386
6.40825,0.58289,0.100593,0.4110613
6.40835,0.58454,0.1045998,0.4078151
6.40845,0.57517,0.1085086,0.4046444
6.40855,0.57957,0.1123083,0.4015461
6.40865,0.58516,0.1160012,0.3985175
6.40875,0.58431,0.1195945,0.3955559
6.40885,0.58251,0.1230916,0.3926587
6.40895,0.58211,0.1264859,0.3898236
6.40905,0.58099,0.1297614,0.3870484
6.40915,0.57257,0.1328986,0.3843307
6.40925,0.56731,0.1358814,0.3816687
6.40935,0.56056,0.1387014,0.3790604
6.40945,0.54893,0.1413533,0.3765038
6.40955,0.54484,0.1438267,0.3739972
6.40965,0.53583,0.1461021,0.3715389
6.40975,0.5347,0.1481547,0.3691273
6.40985,0.51788,0.1499582,0.3667609
6.40995,0.51413,0.1514877,0.3644381
6.41005,0.50479,0.1527227,0.3621577
6.41015,0.4953,0.1536513,0.3599181
6.41025,0.49073,0.1542674,0.3577181
6.41035,0.48845,0.1545592,0.3555565
6.41045,0.48089,0.1545032,0.3534319
6.41055,0.47422,0.1540754,0.3513433
6.41065,0.46634,0.1532725,0.3492895
6.41075,0.46194,0.1521215,0.3472695
6.41085,0.45868,0.1506703,0.3452821
6.41095,0.44829,0.1489681,0.3433264
6.41105,0.44892,0.1470465,0.3414014
6.41115,0.44451,0.1449081,0.3395062
6.41125,0.43693,0.1425289,0.3376399
6.41135,0.43364,0.1398784,0.3358017
6.41145,0.42199,0.1369459,0.3339907
6.41155,0.42228,0.1337568,0.3322061
6.41165,0.41444,0.1303665,0.330447
6.41175,0.4112,0.1268472,0.3287127
6.41185,0.41254,0.1232801,0.3270022
6.41195,0.40229,0.1197512,0.3253149
6.41205,0.39799,0.1163413,0.3236498
6.41215,0.39583,0.1131125,0.3220063
6.41225,0.39099,0.1101031,0.3203835
6.41235,0.38818,0.1073332,0.3187808
6.41245,0.38503,0.1048126,0.3171975
6.41255,0.37953,0.1025432,0.3156328
6.41265,0.36941,0.1005184,0.314086
6.41275,0.36839,0.09872346,0.3125565
6.41285,0.36584,0.09714018,0.3110434
6.41295,0.36503,0.09575005,0.3095459
6.41305,0.35829,0.09453488,0.3080632
6.41315,0.36435,0.0934755,0.3065945
6.41325,0.35895,0.09255099,0.3051388
6.41335,0.35378,0.09173953,0.3036951
6.41345,0.35145,0.09102026,0.3022625
6.41355,0.34834,0.09037534,0.3008399
6.41365,0.35535,0.08979108,0.2994261
6.41375,0.3528,0.08925746,0.2980198
6.41385,0.34495,0.08876581,0.2966197
6.41395,0.34548,0.0883055,0.2952242
6.41405,0.34027,0.0878614,0.2938314
6.41415,0.33868,0.08741385,0.2924393
6.41425,0.33644,0.08694132,0.2910452
6.41435,0.33938,0.08642381,0.2896463
6.41445,0.33609,0.08584434,0.2882388
6.41455,0.32921,0.08518841,0.2868184
6.41465,0.32073,0.08444398,0.2853791
6.41475,0.32358,0.08360457,0.2839132
6.41485,0.32151,0.0826749,0.28241
6.41495,0.31774,0.08167473,0.2808543
6.41505,0.31472,0.08063601,0.2792237
6.41515,0.31294,0.07959123,0.2774855
6.41525,0.30621,0.07855437,0.2755907
6.41535,0.30207,0.0774995,0.2734675
6.41545,0.29874,0.0763476,0.271013
6.41555,0.29886,0.07497509,0.2680842
6.41565,0.29045,0.07325252,0.2644913
6.41575,0.28622,0.07110386,0.2599955
6.41585,0.27947,0.06855687,0.2543162
6.41595,0.26974,0.06575055,0.2471503
6.41605,0.26564,0.06288605,0.2382054
6.41615,0.26308,0.06014026,0.2272466
6.41625,0.25111,0.05758359,0.2141491
6.41635,0.24301,0.05514201,0.1989475
6.41645,0.2336,0.05262296,0.1818686
6.41655,0.22008,0.04979852,0.1633368
6.41665,0.20947,0.04651444,0.1439454
6.41675,0.18082,0.04277701,0.1243955
6.41685,0.15666,0.0387729,0.1054136
6.41695,0.13007,0.03480582,0.08766322
6.41705,0.09767,0.03117824,0.07166942
6.41715,0.07901,0.02807609,0.05777072
6.41725,0.06788,0.02550916,0.04610479
6.41735,0.05434,0.02332729,0.03662661
6.41745,0.0543,0.02129838,0.02915011
6.41755,0.04439,0.01921327,0.02340085
6.41765,0.04002,0.01697555,0.01906774
6.41775,0.04197,0.0146383,0.01584501
6.41785,0.03739,0.01237075,0.01346022
6.41795,0.03169,0.01037245,0.01168826
6.41805,0.03274,0.008780433,0.01035418
6.41815,0.03395,0.007614697,0.009328624
6.41825,0.03473,0.006781872,0.008519706
6.41835,0.0385,0.006125278,0.007864059
6.41845,0.04261,0.0054926,0.007318794
6.41855,0.03848,0.004791295,0.006855072
6.41865,0.03933,0.004011408,0.00645338
6.41875,0.03716,0.003210771,0.006100284
6.41885,0.03638,0.002474508,0.005786291
6.41895,0.04089,0.001871508,0.005504477
6.41905,0.03465,0.001428248,0.005249636
6.41915,0.03443,0.001127344,0.00501774
6.41925,0.03364,0.0009245506,0.004805595
6.41935,0.03053,0.0007717214,0.004610619
6.41945,0.03566,0.0006346935,0.004430689
6.41955,0.03449,0.0005002479,0.004264039
6.41965,0.0371,0.0003722123,0.004109182
6.41975,0.03741,0.0002615108,0.003964854
6.41985,0.03514,0.0001766972,0.003829975
6.41995,0.04104,0.0001194289,0.003703611
6.42005,0.04388,0.00008524319,0.003584951
6.42015,0.04354,0.0000670024,0.003473291
6.42025,0.03955,0.00005805994,0.003368008
6.42035,0.04697,0.0000537549,0.003268557
6.42045,0.04081,0.00005143391,0.003174452
6.42055,0.04431,0.00004982725,0.003085264
6.42065,0.04454,0.00004841654,0.003000608
