HAT_type,barrier_kcal_per_mol
DOPA_R_product-O,36.852970
DOPA_R_product-O,29.151728
DOPA_R_product-O,29.727434
DOPA_R_product-O,26.581479
DOPA_R_product-O,27.382276
DOPA_R_product-O,29.793461
DOPA_R_product-O,29.135099
DOPA_R_product-O,31.996869
DOPA_R_product-C,38.253406
DOPA_R_product-C,34.803113
DOPA_R_product-C,36.101356
DOPA_R_product-C,35.968825
DOPA_R_product-C,35.392835
DOPA_R_product-C,36.474805
DOPA_R_product-C,35.651512
DOPA_R_product-C,30.348217
DOPA_R_product-C,20.236417
DOPA_R_product-C,35.489240
DOPA_R_product-C,38.745220
DOPA_R_product-C,34.523647
DOPA_R_product-C,39.602066
DOPA_R_product-C,34.207030
DOPA_R_product-C,37.190089
DOPA_R_product-C,35.926368
DOPA_R_product-C,34.577043
DOPA_R_product-C,29.626601
DOPA_R_product-C,29.897748
DOPA_R_product-C,34.773937
DOPA_R_product-C,34.305373
DOPA_R_product-C,27.845748
DOPA_R_product-C,35.488849
other,32.307469
other,26.823009
other,39.182910
other,34.121489
other,34.487435
other,39.315461
other,27.595506
other,37.051800
other,37.454034
other,32.344531
other,34.687359
other,40.443447
other,37.254149
other,37.787352
other,38.360405
other,35.912655
other,35.163251
other,38.290714
other,38.874969
other,35.263972
other,32.898187
other,38.117562
other,23.176742
other,30.871335
other,37.743838
other,37.664412
other,31.460925
other,37.467129
other,28.787508
other,31.330168
other,30.812245
other,34.384098
other,35.276731
other,36.377729
other,34.612252
other,33.732725
other,31.784503
other,25.235167
other,36.377633
other,33.400944
other,31.364208
other,31.025882
other,32.689544
other,29.809437
other,32.513442
other,30.886365
other,33.307350
other,36.863605
other,34.364226
other,21.132703
other,36.052477
other,28.275790
other,35.975575
other,35.455523
other,31.856550
other,37.192277
other,36.398326
other,41.044674
other,35.915853
other,32.933439
other,33.420793
other,30.766536
other,23.068497
other,28.508381
other,30.214051
other,31.810102
other,35.560729
other,28.140660
other,32.314439
other,33.558265
other,32.409534
other,35.239402
other,35.290742
other,30.900908
other,35.122186
other,34.107145
other,36.588291
other,32.743340
other,34.458917
other,33.889001
other,38.758531
other,25.482960
other,30.041923
other,27.806332
other,36.906346
other,28.212816
other,31.151376
other,29.342760
other,26.047857
other,34.650865
other,29.414265
other,24.251337
other,26.469580
other,22.445127
other,25.734231
other,27.879033
other,28.162670
other,23.065929
other,25.490275
other,31.980857
other,32.576619
other,28.571221
other,30.725507
other,35.344033
other,35.858611
other,35.636466
other,34.234486
other,28.814957
other,39.946617
other,29.241445
other,34.013553
other,26.930272
other,38.627160
other,39.419048
other,26.563932
other,29.714362
other,31.556607
other,29.253889
other,25.443701
other,27.932552
other,29.637026
other,35.178968
other,39.526379
other,38.810612
other,40.165573
other,36.023344
